PROVIDERID,PROVIDERNAME,PROVIDERSERVICETYPE,STREETADDRESS,CITY,STATE,ZIP,COUNTY,COMMUNITY,ECC,CCRR,SCHOOLDISTRICT,POINT_X,POINT_Y,AWARDDATE,EXPIRATIONDATE,QRISRATINGLEVEL,TOTALLICENSEDCAPACITY,CCCAPCHILDCOUNT_D1,CCCAPCASECOUNT_D1,CCCAPFAEXPDATE_D1,CCCAPTOTALAUTH_D1,CCCAPFASTATUS_D1,CCCAP_AMOUNT_PAID_D1,CCCAPFAEXPDATE_D2,CCCAPTOTALAUTH_D2,CCCAPFASTATUS_D2,YEAR_MONTH
36350,LINCOLN OM EXTENDED HOURS PROGRAM,School-Age Child Care Center,2888B 1/2 RD,Grand Junction,CO,81503,Mesa,Grand Junction,Mesa County Valley School District 51,Mesa County Partnership for Children & Families,Hilltop/Western Colorado,-108.517737,39.03196, , , ,85,3,3,2/28/2019 0:00,5,1,422,2/28/2019 0:00,4,1,20180630
36351,ORCHARD AVENUE EXTENDED HOURS,School-Age Child Care Center,2050 N 17th,Grand Junction,CO,81501,Mesa,Grand Junction,Mesa County Valley School District 51,Mesa County Partnership for Children & Families,Hilltop/Western Colorado,-108.54106,39.077662, , , ,40,24,11,7/31/2018 0:00,49,1,3588,7/31/2018 0:00,38,1,20180630
36352,ROCKY MOUNTAIN EXTENDED HOURS,School-Age Child Care Center,3260 D 1/2 RD,Clifton,CO,81520,Mesa,Clifton,Mesa County Valley School District 51,Mesa County Partnership for Children & Families,Hilltop/Western Colorado,-108.449006,39.070965, , , ,40,7,5,7/30/2018 0:00,10,1,895,7/30/2018 0:00,7,1,20180630
36362,EARLY SUCCESS ACADEMY,Child Care Center,4870 Chambers RD,Denver,CO,80239,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-104.807964,39.786104,3/31/2016 0:00,3/31/2019 0:00,Level 3,63,34,24,9/30/2019 0:00,54,1,14595,9/30/2019 0:00,57,1,20180630
36383,JUMP START LEARNING CENTER,Child Care Center,530 Poplar,Las Animas,CO,81054,Bent,Las Animas,Las Animas School District RE-1,"Early Childhood Council of Bent, Otero and Crowley Counties",Childrens First,-103.231825,38.067397,11/30/2017 0:00,11/30/2020 0:00,Level 3,36, , , , , ,   , , , ,20180630
36393,POUDRE SCH DIST EARLY CHILD PROG TRAUT,Preschool Program,2515 Timberwood DR,Fort Collins,CO,80528,Larimer,Fort Collins,Poudre School District R-1,Early Childhood Council of Larimer County,ECC of Larimer County,-105.0266,40.51877,1/1/2015 0:00,12/31/2020 0:00,Level 4,40, , , , , ,   , , , ,20180630
36453,OTERO JUNIOR COLLEGE CHILD DEVELOP SR,Child Care Center,300 Baker,Boone,CO,81025,Pueblo,Northeast Pueblo,Pueblo County School District 70,Pueblo Early Childhood Council,Childrens First,-104.256847,38.254451,1/1/2015 0:00,12/31/2020 0:00,Level 4,133, , , , , ,   , , , ,20180630
36482,LINDA WILLIAMS,Experienced Family Child Care Home,501 W Logan,Sterling,CO,80751,Logan,Sterling,Valley School District RE-1,"Early Childhood Council of Logan, Phillips, and Sedgwick Counties","ECC Logan, Phillips, Sedgwick",-103.206767,40.640381,1/16/2018 0:00,1/16/2021 0:00,Level 2,9,3,3,1/31/2019 0:00,3,1,1387,1/31/2019 0:00,3,1,20180630
36533,A B C WEST CHILD DEVELOPMENT CENTER,Child Care Center,5000 W 11th ST,Greeley,CO,80634,Weld,Greeley,Greeley School District 6,Promises for Children,Promises for Children,-104.76456,40.419637,8/31/2016 0:00,8/31/2019 0:00,Level 4,218,63,48,6/30/2020 0:00,77,1,32548,6/30/2020 0:00,80,1,20180630
36543,PATRICIA STOCK,Family Child Care Home,268 28th CT,Rifle,CO,81650,Garfield,Rifle,Garfield School District RE-2,Rocky Mountain Early Childhood Council,Mountain Valley Developmental Svcs,-107.780704,39.555038, , ,Level 1,6, , , , , ,   , , , ,20180630
36566,CINDY KHOKETKHAM,Family Child Care Home,1211 Ross AVE,Alamosa,CO,81101,Alamosa,Alamosa,Alamosa School District RE-11J,Early Childhood Council of the San Luis Valley,ECC SLV,-105.87022,37.460006, , ,Level 1,6,8,3,12/2/2018 0:00,8,1,2978,12/2/2018 0:00,8,1,20180630
36606,CHRISTY BAKER,Three under Two Family Child Care Home,2729 B 1/4,Grand Junction,CO,81503,Mesa,Grand Junction,Mesa County Valley School District 51,Mesa County Partnership for Children & Families,Hilltop/Western Colorado,-108.546885,39.036599, , ,Level 1,6,1,1,8/31/2018 0:00,2,1,560,8/31/2018 0:00,4,1,20180630
36711,KID'S CONNECTION - VASSAR ELEMENTARY,School-Age Child Care Center,18101 E Vassar PL,Aurora,CO,80013,Arapahoe,South Aurora,Adams-Arapahoe School District 28J,Arapahoe County Early Childhood Council,Child Care Innovations,-104.777138,39.669572, , , ,100,21,16,6/30/2020 0:00,23,1,3858,6/30/2020 0:00,27,1,20180630
36746,COLONNADE CHILDREN'S CENTER,Child Care Center,1244 Speer BLVD # 170,Denver,CO,80204,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-104.994988,39.736479,6/2/2014 0:00,6/1/2019 0:00,Level 4,70, , , , , ,   , , , ,20180630
36883,STONY CREEK PRESCHOOL,Child Care Center,7203 S Everett ST,Littleton,CO,80128,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.097524,39.585798,3/2/2017 0:00,3/2/2020 0:00,Level 2,48, , ,10/31/2021 0:00,1,1,   ,10/31/2021 0:00,0,1,20180630
36916,ASPEN DAY CAMP,School-Age Child Care Center,199 High School RD,Aspen,CO,81611,Pitkin,Aspen,Aspen School District 1,Rocky Mountain Early Childhood Council,Mountain Valley Developmental Svcs,-106.849269,39.190895, , , ,110,3,3,2/28/2019 0:00,4,1,495,4/30/2019 0:00,5,1,20180630
36989,COLLEEN GOFF,Family Child Care Home,164 E Falcon DR,Pueblo West,CO,81007,Pueblo,Pueblo West,Pueblo County School District 70,Pueblo Early Childhood Council,Childrens First,-104.735067,38.325033, , ,Level 1,6,2,1,9/30/2018 0:00,2,1,604,9/30/2018 0:00,2,1,20180630
37086,HOLY CROSS LUTHERAN SCHOOL,Child Care Center,4125 Constitution AVE,Colorado Springs,CO,80909,El Paso,Colorado Springs,Colorado Springs School District 11,Alliance for Kids,Alliance for Kids,-104.748899,38.860985,10/31/2017 0:00,10/31/2020 0:00,Level 4,45, , , , , ,   , , , ,20180630
37249,KIDS' CORNER,School-Age Child Care Center,17401 E Dartmouth AVE,Aurora,CO,80013,Arapahoe,South Aurora,Adams-Arapahoe School District 28J,Arapahoe County Early Childhood Council,Child Care Innovations,-104.785576,39.660048, , , ,100,2,1,9/30/2020 0:00,4,1,654,9/30/2020 0:00,4,1,20180630
37283,YMCA OF METRO DENVER @ STOBER,School-Age Child Care Center,2300 Urban ST,Lakewood,CO,80215,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.132435,39.751483, , , ,120,6,5,10/31/2018 0:00,6,1,198,10/31/2018 0:00,8,1,20180630
37284,ST PAUL'S LUTHERAN PRESCHOOL,Child Care Center,2611 Junction ST,Durango,CO,81301,La Plata,Durango,Durango School District 9-R,Early Childhood Council of La Plata County,ECC La Plata Co,-107.87903,37.294623,11/30/2015 0:00,11/30/2018 0:00,Level 2,49,8,6,12/31/2018 0:00,8,1,3020,12/31/2018 0:00,9,1,20180630
37296,PRIMROSE SCHOOL OF LONE TREE,Child Care Center,9200 Teddylane,Tonetree,CO,80124,Douglas,Sedalia,Douglas County School District RE-1,Douglas County Early Childhood Council,Child Care Innovations,-104.882526,39.551115, , ,Level 1,177, , , , , ,   , , , ,20180630
37298,PIKES PEAK SCHOOL OF EXPEDITIONARY LEARNING,Child Care Center,11925 Antlers Ridge DR,Peyton,CO,80831,El Paso,Black Forest-Peyton,Falcon School District 49,Alliance for Kids,Alliance for Kids,-104.60484,38.999299, , ,Level 1,15, , , , , ,   , , , ,20180630
37414,TERI KENTON,Family Child Care Home,5008 S Ventura CT,Aurora,CO,80015,Arapahoe,South Aurora,Cherry Creek School District 5,Arapahoe County Early Childhood Council,Child Care Innovations,-104.777647,39.625688, , ,Level 1,6, , , , , ,   , , , ,20180630
37415,SANDRA FEEZOR,Family Child Care Home,1313 N Cooper Avenue,Colorado Springs,CO,80905,El Paso,Colorado Springs,Colorado Springs School District 11,Alliance for Kids,Alliance for Kids,-104.834776,38.852656, , ,Level 1,6,5,4,12/31/2019 0:00,5,1,1596,12/31/2019 0:00,4,1,20180630
37458,DAYSPRING CHRISTIAN ACADEMY,Child Care Center,3734 W 20th ST,Greeley,CO,80634,Weld,Greeley,Greeley School District 6,Promises for Children,Promises for Children,-104.738697,40.405333,6/30/2017 0:00,6/30/2022 0:00,Level 3,72, , , , , ,   , , , ,20180630
37459,SD27J PRESCHOOL @ WESTRIDGE ELEMENTARY,Preschool Program,13102 Monaco ST,Thornton,CO,80602,Adams,Brighton,Brighton School District 27J,Early Childhood Partnership of Adams County,Child Care Innovations,-104.911311,39.934193, , ,Level 1,49, , , , , ,   , , , ,20180630
37689,COYOTE RIDGE BASE PROGRAM,School-Age Child Care Center,13770 Broadlands DR,Broomfield,CO,80023,Broomfield,Broomfield,Northglenn-Thornton School District 12,Broomfield Early Childhood Council,Child Care Innovations,-105.04485,39.946351, , , ,150, , ,8/31/2019 0:00,0,1,   ,8/31/2019 0:00,0,1,20180630
37855,FOOTPRINTS-DAYCARE,Child Care Center,3101 E 100th AVE,Thornton,CO,80229,Adams,West Adams,Mapleton School District 1,Early Childhood Partnership of Adams County,Child Care Innovations,-104.948879,39.878215,6/30/2016 0:00,6/30/2019 0:00,Level 3,38,8,5,10/31/2019 0:00,12,1,3479,10/31/2019 0:00,11,1,20180630
37858,EMMANUEL LUTHERAN PRESCHOOL & KINDERGARTEN,Child Care Center,652 E 5th ST,Rifle,CO,81650,Garfield,Rifle,Garfield School District RE-2,Rocky Mountain Early Childhood Council,Mountain Valley Developmental Svcs,-107.776019,39.534024, , ,Level 1,50, , , , , ,   , , , ,20180630
37902,HEATHER DILLIE,Family Child Care Home,1561 I RD,Delta,CO,81416,Delta,Delta,Delta County School District 50J,Bright Futures,Bright Futures,-108.071122,38.7699,1/23/2017 0:00,1/23/2020 0:00,Level 2,6,11,7,6/30/2018 0:00,12,1,3927,6/30/2018 0:00,13,1,20180630
37943,DAKOTA VALLEY ELEMENTARY SCHOOL,School-Age Child Care Center,3950 S Kirk WAY,Aurora,CO,80013,Arapahoe,South Aurora,Cherry Creek School District 5,Arapahoe County Early Childhood Council,Child Care Innovations,-104.744983,39.646499, , , ,150,1,1,10/31/2020 0:00,2,1,245,10/31/2020 0:00,0,1,20180630
37994,JANE ROST,Family Child Care Home,1203 S Patton CT,Denver,CO,80219,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-105.039389,39.69476,10/31/2017 0:00,10/31/2020 0:00,Level 2,6,6,5,12/31/2019 0:00,14,1,1935,12/31/2019 0:00,7,1,20180630
38034,ST JOAN OF ARC EARLY LEARNING CENTER,Child Care Center,12735 W 58th AVE,Arvada,CO,80002,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.141978,39.80239,7/31/2016 0:00,7/31/2019 0:00,Level 4,150, , , , , ,   , , , ,20180630
38037,SUSAN M DUNCAN FAMILY YMCA CHILD CARE,Child Care Center,6350 Eldridge ST,Arvada,CO,80004,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.155262,39.811956,9/18/2017 0:00,9/18/2020 0:00,Level 2,90, , , , , ,   , , , ,20180630
38198,UTE MEADOWS BEFORE & AFTER SCHOOL,School-Age Child Care Center,11050 W Meadows,Littleton,CO,80127,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.121054,39.585002, , , ,50,5,3,10/31/2018 0:00,5,1,762,4/30/2020 0:00,3,1,20180630
38200,BOULDER WALDORF KINDERGARTEN,Child Care Center,4072 19th ST,Boulder,CO,80304,Boulder,Boulder,Boulder Valley School District RE-2,Early Childhood Council of Boulder County,ECC Boulder Co,-105.27228,40.04942, , ,Level 1,67,2,2,5/31/2019 0:00,4,1,1519,5/31/2019 0:00,5,1,20180630
38225,RELYN SOLIDAY,Family Child Care Home,4616 Homestead CT,Greeley,CO,80634,Weld,Greeley,Greeley School District 6,Promises for Children,Promises for Children,-104.754592,40.367526, , ,Level 1,6, , , , , ,   , , , ,20180630
38310,WOODLAND PARK COMMUNITY CHURCH LEARNING CTR,Child Care Center,800 Valley View DR,Woodland Park,CO,80863,Teller,Divide,Woodland Park School District RE-2,Teller/Park Early Childhood Council,Alliance for Kids,-105.060954,39.012504,12/31/2016 0:00,12/31/2019 0:00,Level 4,75,1,1,12/31/2019 0:00,3,1,331,12/31/2019 0:00,3,1,20180630
38311,QUEEN PALMER CPCD PRESCHOOL,Preschool Program,1921 E Yampa,Colorado Springs,CO,80909,El Paso,Colorado Springs,Colorado Springs School District 11,Alliance for Kids,Alliance for Kids,-104.792135,38.845917,1/1/2015 0:00,12/31/2020 0:00,Level 4,20, , , , , ,   , , , ,20180630
38313,APPLE TREE CHRISTIAN PRESCHOOL & KINDERGARTEN,Child Care Center,545 W 10th AVE,Broomfield,CO,80020,Broomfield,Broomfield,Boulder Valley School District RE-2,Broomfield Early Childhood Council,Child Care Innovations,-105.077389,39.929635,3/31/2017 0:00,3/31/2020 0:00,Level 5,78, , ,6/30/2019 0:00,0,1,   ,6/30/2019 0:00,0,1,20180630
38314,LITTLE TREASURES PRESCHOOL,Child Care Center,17361 U.S. Highway 285,LaJara,CO,81140,Conejos,La Jara,North Conejos School District RE-1J,Early Childhood Council of the San Luis Valley,ECC SLV,-105.968064,37.249205,3/31/2018 0:00,3/31/2021 0:00,Level 4,90,2,2,5/2/2018 0:00,2,1,408,9/11/2018 0:00,0,1,20180630
38318,CENTRO SITE,Child Care Center,150 Sheridan BLVD,Denver,CO,80226,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-105.052616,39.719313,1/1/2015 0:00,12/31/2020 0:00,Level 4,77, , , , , ,   , , , ,20180630
38328,"PADDINGTON STATION, INC",Child Care Center,1301 Quebec ST,Denver,CO,80220,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-104.904081,39.737621,5/31/2015 0:00,5/31/2018 0:00,Level 4,250, , ,6/30/2019 0:00,1,1,   ,6/30/2019 0:00,0,1,20180630
38396,SANFORD PRESCHOOL,Preschool Program,755 2nd ST,Sanford,CO,81151,Conejos,La Jara,Sanford School District 6J,Early Childhood Council of the San Luis Valley,ECC SLV,-105.907643,37.257377,2/28/2017 0:00,2/29/2020 0:00,Level 4,20, , , , , ,   , , , ,20180630
38414,DAWN MARCHBANKS,Large Family Child Care Home,19856 Gaines Mill CT,Parker,CO,80134,Douglas,Parker,Douglas County School District RE-1,Douglas County Early Childhood Council,Child Care Innovations,-104.761526,39.495955,4/13/2017 0:00,4/13/2020 0:00,Level 2,12, , , , , ,   , , , ,20180630
38461,DPS DISCOVERY LINK @ SOUTHMOOR,School-Age Child Care Center,3755 S Magnolia WAY,Denver,CO,80237,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-104.912139,39.647714, , , ,100,3,3,9/30/2020 0:00,17,1,16,9/30/2020 0:00,15,1,20180630
38510,SMALL FRIES PROGRAM CITY OF LOVELAND,Preschool Program,700 E 4th ST,Loveland,CO,80537,Larimer,Loveland,Thompson School District R-2J,Early Childhood Council of Larimer County,ECC of Larimer County,-105.066872,40.39458,10/14/2016 0:00,10/14/2019 0:00,Level 2,20, , ,12/31/2019 0:00,0,1,   ,12/31/2019 0:00,0,1,20180630
38512,ROSEMARIE REGAN,Large Family Child Care Home,11135 Clermont DR,Thornton,CO,80233,Adams,West Adams,Northglenn-Thornton School District 12,Early Childhood Partnership of Adams County,Child Care Innovations,-104.933575,39.898163,3/31/2017 0:00,3/31/2020 0:00,Level 5,12,1,1,2/29/2020 0:00,1,1,751,6/30/2020 0:00,0,1,20180630
38728,JULIE DUNLAP,Family Child Care Home,274 Meadows CIR,Bayfield,CO,81122,La Plata,Bayfield,Bayfield School District R-10-JT,Early Childhood Council of La Plata County,ECC La Plata Co,-107.592931,37.227748, , ,Level 1,6, , , , , ,   , , , ,20180630
38845,THRESA LANE,Experienced Family Child Care Home,17783 E Ida AVE,Centennial,CO,80015,Arapahoe,South Aurora,Cherry Creek School District 5,Arapahoe County Early Childhood Council,Child Care Innovations,-104.78245,39.611396,2/4/2016 0:00,2/4/2019 0:00,Level 2,8, , , , , ,   , , , ,20180630
38859,DEANNA ROMERO,Family Child Care Home,12285 W 35th AVE,Wheatridge,CO,80033,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.136088,39.766117,12/20/2016 0:00,12/20/2019 0:00,Level 2,6,1,1,10/31/2018 0:00,1,1,219,10/31/2018 0:00,1,1,20180630
38876,ACADEMY KIDS,School-Age Child Care Center,1551 Prairie Hawk DR,Castle Rock,CO,80104,Douglas,Castle Rock,Douglas County School District RE-1,Douglas County Early Childhood Council,Child Care Innovations,-104.871359,39.383808, , , ,50, , , , , ,   , , , ,20180630
38992,JOANNE PETROVIC,Family Child Care Home,5515 Backglen DR,Colorado Springs,CO,80906,El Paso,Cheyenne Mountain,Cheyenne Mountain School District 12,Alliance for Kids,Alliance for Kids,-104.81219,38.753161, , ,Level 1,6, , , , , ,   , , , ,20180630
39021,BONITA PRESCOTT,Family Child Care Home,106 Hummingbird PL,Berthoud,CO,80513,Larimer,Berthoud,Thompson School District R-2J,Early Childhood Council of Larimer County,ECC of Larimer County,-105.084035,40.301702, , ,Level 1,6, , , , , ,   , , , ,20180630
39183,LAUREN MARKLE,Three under Two Family Child Care Home,4334 Brookstone CT,Loveland,CO,80538,Larimer,Loveland,Thompson School District R-2J,Early Childhood Council of Larimer County,ECC of Larimer County,-105.088242,40.437077, , ,Level 1,6,1,1,12/31/2018 0:00,1,1,549,12/31/2018 0:00,1,1,20180630
39249,TAMMY HILZER,Family Child Care Home,217 Sherman,Fort Morgan,CO,80701,Morgan,Fort Morgan,Fort Morgan School District RE-3,Morgan County Early Childhood Council,Morgan Co Family Center,-103.792108,40.249046, , ,Level 1,6,2,1,8/31/2018 0:00,5,1,840,8/31/2018 0:00,0,1,20180630
39397,TAMMY PENDERGRASS,Family Child Care Home,1709 Laveta ST,Grand Junction,CO,81503,Mesa,Grand Junction,Mesa County Valley School District 51,Mesa County Partnership for Children & Families,Hilltop/Western Colorado,-108.566067,39.049712, , ,Level 1,6,7,6,10/31/2018 0:00,14,1,679,10/31/2018 0:00,11,1,20180630
39467,DELILAH ROMERO,Family Child Care Home,2280 H RD,Grand Junction,CO,81505,Mesa,Fruita,Mesa County Valley School District 51,Mesa County Partnership for Children & Families,Hilltop/Western Colorado,-108.631826,39.121043,2/27/2017 0:00,2/27/2020 0:00,Level 2,6,3,2,12/31/2018 0:00,3,1,649,12/31/2018 0:00,3,1,20180630
39609,"ADVENTURE EXPERIENCES, INC",Resident Camp,#2 Ilinois Creek RD,Almont,CO,81210,Gunnison,Gunnison,Gunnison Watershed School District RE-1J,Gunnison Hinsdale Early Childhood Council,Bright Futures,-106.56138,38.872991, , , ,100, , , , , ,   , , , ,20180630
39611,CANON CITY KIDS KLUB BEFORE & AFTER,School-Age Child Care Center,606 N 9th,Canon City,CO,81212,Fremont,Cañon City,Cañon City School District RE-1,ECHO and Family Center Early Childhood Council,Childrens First,-105.238552,38.447026, , , ,50,32,21,9/30/2018 0:00,34,1,1891,6/1/2019 0:00,45,1,20180630
39614,DEL NORTE HEAD START,Child Care Center,440 6th ST,Del Norte,CO,81132,Rio Grande,Del Norte,Del Norte School District C-7,Early Childhood Council of the San Luis Valley,ECC SLV,-106.356898,37.678035,1/1/2015 0:00,12/31/2020 0:00,Level 4,77, , , , , ,   , , , ,20180630
39875,RUTH ARAGON,Large Family Child Care Home,1125 S Clay ST,Denver,CO,80219,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-105.02073,39.696116,9/30/2015 0:00,9/30/2018 0:00,Level 2,12,6,3,2/28/2021 0:00,10,1,1452,2/28/2021 0:00,16,1,20180630
39882,ANGELA AGUILAR,Family Child Care Home,6045 Bestview WAY,Colorado Springs,CO,80918,El Paso,Colorado Springs,Colorado Springs School District 11,Alliance for Kids,Alliance for Kids,-104.760161,38.919735, , ,Level 1,6, , , , , ,   , , , ,20180630
39895,PATRICIA MEDINA,Family Child Care Home,1025 E Ash ST,Pueblo,CO,81001,Pueblo,Pueblo,Pueblo City School District 60,Pueblo Early Childhood Council,Childrens First,-104.592303,38.266652,3/24/2017 0:00,3/24/2020 0:00,Level 2,6,9,6,12/31/2019 0:00,8,1,2755,12/31/2019 0:00,8,1,20180630
39973,WOODMEN HILLS ELEMENTARY PRESCHOOL PROGRAM,Preschool Program,8308 Del Rio RD,Falcon,CO,80831,El Paso,Black Forest-Peyton,Falcon School District 49,Alliance for Kids,Alliance for Kids,-104.598782,38.951796, , ,Level 1,74, , , , , ,   , , , ,20180630
39980,THE EARLY LEARNING CENTER,Child Care Center,2115 Afton WAY,Colorado Springs,CO,80909,El Paso,Colorado Springs,Colorado Springs School District 11,Alliance for Kids,Alliance for Kids,-104.781655,38.860824,6/10/2016 0:00,6/10/2019 0:00,Level 2,25,1,1,12/31/2018 0:00,1,1,338,12/31/2018 0:00,1,1,20180630
40010,JULIE TOWNSLEY,Experienced Family Child Care Home,13 Sage LN,Gunnison,CO,81230,Gunnison,Gunnison,Gunnison Watershed School District RE-1J,Gunnison Hinsdale Early Childhood Council,Bright Futures,-106.965349,38.575931, , ,Level 1,9, , , , , ,   , , , ,20180630
40066,SADDLE RANCH ELEMENTARY SCHOOL,School-Age Child Care Center,805 W English Sparrow TRL,Highlands Ranch,CO,80129,Douglas,Sedalia,Douglas County School District RE-1,Douglas County Early Childhood Council,Child Care Innovations,-104.996478,39.532223, , , ,90, , , , , ,   , , , ,20180630
40067,BVSD KINDERGARTEN ENRICHMENT @ BEAR CREEK,School-Age Child Care Center,2500 Table Mesa DR,Boulder,CO,80303,Boulder,Boulder,Boulder Valley School District RE-2,Early Childhood Council of Boulder County,ECC Boulder Co,-105.26306,39.980454, , , ,49, , ,8/31/2019 0:00,0,1,   ,8/31/2019 0:00,0,1,20180630
40112,NANCY ATENCIO,Large Family Child Care Home,2922 F 1/2 RD,Grand Junction,CO,81504,Mesa,Grand Junction,Mesa County Valley School District 51,Mesa County Partnership for Children & Families,Hilltop/Western Colorado,-108.509856,39.099471,1/12/2016 0:00,1/12/2019 0:00,Level 2,12,14,12,1/31/2019 0:00,13,1,5050,1/31/2019 0:00,10,1,20180630
40251,KINDERCARE LEARNING CENTERS LLC,Child Care Center,16975 Village Center DR,Parker,CO,80134,Douglas,Parker,Douglas County School District RE-1,Douglas County Early Childhood Council,Child Care Innovations,-104.791601,39.533555,9/2/2014 0:00,9/1/2019 0:00,Level 4,186,16,14,3/31/2021 0:00,19,1,10009,3/31/2021 0:00,17,1,20180630
40353,SYLVIA HERRERA,Family Child Care Home,919 W Evans,Pueblo,CO,81004,Pueblo,Pueblo,Pueblo City School District 60,Pueblo Early Childhood Council,Childrens First,-104.633047,38.267091, , ,Level 1,6, , , , , ,   , , , ,20180630
40440,BVSD KINDERGARTEN ENRICHMEN @ COAL CREEK ELEM,School-Age Child Care Center,801 W Tamarisk ST,Louisville,CO,80027,Boulder,Lafayette-Louisville,Boulder Valley School District RE-2,Early Childhood Council of Boulder County,ECC Boulder Co,-105.156293,39.982778, , , ,22, , ,8/31/2019 0:00,0,1,   ,8/31/2019 0:00,1,1,20180630
40444,BVSD KINDERGARTEN ENRICHMENT @ DOUGLASS,School-Age Child Care Center,840 75th ST,Boulder,CO,80303,Boulder,Lafayette-Louisville,Boulder Valley School District RE-2,Early Childhood Council of Boulder County,ECC Boulder Co,-105.178171,40.002325, , , ,26,1,1,8/31/2019 0:00,1,1,386,8/31/2019 0:00,0,1,20180630
40445,BVSD KINDERGARTEN ENRICHMENT @ EISENHOWER,School-Age Child Care Center,1220 Eisenhower DR,Boulder,CO,80303,Boulder,Boulder,Boulder Valley School District RE-2,Early Childhood Council of Boulder County,ECC Boulder Co,-105.233582,40.008477, , , ,25,2,2,8/31/2019 0:00,2,1,746,8/31/2019 0:00,2,1,20180630
40472,BVSD KINDERGARTEN ENRICHMENT @ FIRESIDE,School-Age Child Care Center,845 W Dahlia ST,Louisville,CO,80027,Boulder,Lafayette-Louisville,Boulder Valley School District RE-2,Early Childhood Council of Boulder County,ECC Boulder Co,-105.157243,39.968605, , , ,24,3,3,8/31/2019 0:00,3,1,1159,8/31/2019 0:00,1,1,20180630
40474,BVSD KINDERGARTEN ENRICHMENT @ FLATIRONS,School-Age Child Care Center,1150 7th ST,Boulder,CO,80302,Boulder,Boulder,Boulder Valley School District RE-2,Early Childhood Council of Boulder County,ECC Boulder Co,-105.284898,40.008335, , , ,22, , ,8/31/2019 0:00,0,1,   ,8/31/2019 0:00,0,1,20180630
40475,BVSD KINDERGARTEN ENRICHMENT @ FOOTHILL ELEM,School-Age Child Care Center,1001 Hawthorn,Boulder,CO,80304,Boulder,Boulder,Boulder Valley School District RE-2,Early Childhood Council of Boulder County,ECC Boulder Co,-105.283912,40.035817, , , ,73,2,2,8/31/2019 0:00,2,1,614,8/31/2019 0:00,1,1,20180630
40477,BVSD KINDERGARTEN ENRICHMENT @ LOUISVILLE ELE,School-Age Child Care Center,400 Hutchinson,Louisville,CO,80027,Boulder,Lafayette-Louisville,Boulder Valley School District RE-2,Early Childhood Council of Boulder County,ECC Boulder Co,-105.137394,39.97469, , , ,25,1,1,8/31/2019 0:00,2,1,355,8/31/2019 0:00,0,1,20180630
40480,BVSD KINDERGARTEN ENRICHMENT @ MESA,School-Age Child Care Center,1575 Lehigh ST,Boulder,CO,80305,Boulder,Boulder,Boulder Valley School District RE-2,Early Childhood Council of Boulder County,ECC Boulder Co,-105.261269,39.972327, , , ,30, , ,8/31/2019 0:00,0,1,   ,8/31/2019 0:00,0,1,20180630
40481,BVSD KINDERGARTEN ENRICHMENT @ MONARCH K8,School-Age Child Care Center,263 Campus DR,Louisville,CO,80027,Boulder,Lafayette-Louisville,Boulder Valley School District RE-2,Early Childhood Council of Boulder County,ECC Boulder Co,-105.142146,39.950719, , , ,39,1,1,8/31/2019 0:00,1,1,265,8/31/2019 0:00,1,1,20180630
40482,BVSD KINDERGARTEN ENRICHMENT @ SUPERIOR ELEM,School-Age Child Care Center,1800 S Indiana ST,Superior,CO,80027,Boulder,Lafayette-Louisville,Boulder Valley School District RE-2,Early Childhood Council of Boulder County,ECC Boulder Co,-105.158657,39.936422, , , ,18,1,1,8/31/2019 0:00,1,1,399,8/31/2019 0:00,0,1,20180630
40657,FRANKLIN FRIENDS SACC II,School-Age Child Care Center,1603 E Euclid AVE,Centennial,CO,80121,Arapahoe,Southwest Arapahoe,Littleton School District 6,Arapahoe County Early Childhood Council,Child Care Innovations,-104.969179,39.600611, , , ,75,3,3,10/31/2020 0:00,3,1,998,10/31/2020 0:00,3,1,20180630
40723,RAYNA CARRILLO,Three under Two Family Child Care Home,20 Chestnut DR,Pueblo,CO,81005,Pueblo,Pueblo,Pueblo City School District 60,Pueblo Early Childhood Council,Childrens First,-104.665181,38.250134, , ,Level 1,6,9,5,6/30/2018 0:00,9,1,3430,6/30/2018 0:00,8,1,20180630
