PROVIDERID,PROVIDERNAME,PROVIDERSERVICETYPE,STREETADDRESS,CITY,STATE,ZIP,COUNTY,COMMUNITY,ECC,CCRR,SCHOOLDISTRICT,POINT_X,POINT_Y,AWARDDATE,EXPIRATIONDATE,QRISRATINGLEVEL,TOTALLICENSEDCAPACITY,CCCAPCHILDCOUNT_D1,CCCAPCASECOUNT_D1,CCCAPFAEXPDATE_D1,CCCAPTOTALAUTH_D1,CCCAPFASTATUS_D1,CCCAP_AMOUNT_PAID_D1,CCCAPFAEXPDATE_D2,CCCAPTOTALAUTH_D2,CCCAPFASTATUS_D2,YEAR_MONTH
1519291,RACHEL GRANILLO,Family Child Care Home,422 E 7th ST,Julesburg,CO,80737,Sedgwick,Julesburg,Julesburg School District RE-1,"Early Childhood Council of Logan, Phillips, and Sedgwick Counties","ECC Logan, Phillips, Sedgwick",-102.263602,40.993621,2/27/2017 0:00,2/27/2020 0:00,Level 2,6, , ,1/31/2019 0:00,0,1,   ,1/31/2019 0:00,0,1,20180630
1519378,WESTLAKE B.A.S.E. PROGRAM,School-Age Child Care Center,2800 W 135th AVE,Broomfield,CO,80020,Broomfield,Broomfield,Northglenn-Thornton School District 12,Broomfield Early Childhood Council,Child Care Innovations,-105.0204,39.9424, , , ,100, , , , , ,   ,5/31/2021 0:00,9,1,20180630
1519422,DOUGLAS CTY SCHL FLAGSTONE PRSCHL,Preschool Program,104 Lovington ST,Castle Rock,CO,80104,Douglas,Parker,Douglas County School District RE-1,Douglas County Early Childhood Council,Child Care Innovations,-104.790055,39.368854,12/27/2016 0:00,12/27/2019 0:00,Level 2,15, , , , , ,   , , , ,20180630
1519423,DOUGLAS CTY SCHL LEGACY POINT PRSCHL,Preschool Program,12736 S Red Rosa,Parker,CO,80134,Douglas,Parker,Douglas County School District RE-1,Douglas County Early Childhood Council,Child Care Innovations,-104.783441,39.485956,4/30/2017 0:00,4/30/2020 0:00,Level 4,32, , , , , ,   , , , ,20180630
1519499,PRAIRIE HILLS BASE PROGRAM,School-Age Child Care Center,13801 Garfield PL,Thornton,CO,80602,Adams,West Adams,Northglenn-Thornton School District 12,Early Childhood Partnership of Adams County,Child Care Innovations,-104.944323,39.946608, , , ,150,4,2,8/31/2019 0:00,6,1,646,8/31/2019 0:00,4,1,20180630
1519534,NEW FRONTIER,School-Age Child Care Center,9950 Laredo DR,Commerce City,CO,80022,Adams,Brighton,Brighton School District 27J,Early Childhood Partnership of Adams County,Child Care Innovations,-104.80135,39.877537, , , ,100, , , , , ,   , , , ,20180630
1519636,LINCOLN ACADEMY PRESCHOOL,Preschool Program,7180 Oak ST,Arvada,CO,80004,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.117081,39.825899,11/30/2017 0:00,11/30/2020 0:00,Level 3,41, , , , , ,   , , , ,20180630
1519715,KAREN WALDEN,Experienced Family Child Care Home,2152 Roundtop CT,Colorado Springs,CO,80918,El Paso,Colorado Springs,Academy School District 20,Alliance for Kids,Alliance for Kids,-104.786317,38.926191, , ,Level 1,6, , , , , ,   , , , ,20180630
1519783,LORD OF THE HILLS CHRISTIAN PRESCHOOL,Preschool Program,21755 E Smoky Hill RD,Centennial,CO,80015,Arapahoe,South Aurora,Cherry Creek School District 5,Arapahoe County Early Childhood Council,Child Care Innovations,-104.734587,39.607078, , ,Level 1,32, , , , , ,   , , , ,20180630
1519786,DPS DISCOVERY LINK @ EBERT ELEMENTARY,School-Age Child Care Center,410 Park Avenue West,Denver,CO,80205,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-104.982158,39.749581, , , ,100,2,2,9/30/2019 0:00,3,1,353,9/30/2019 0:00,3,1,20180630
1519787,DPS DISCOVERY LINK @ FAIRMONT,School-Age Child Care Center,520 W 3rd AVE,Denver,CO,80223,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-104.994238,39.720161, , , ,100, , , , , ,   , , , ,20180630
1519789,BACON B.A.S.E. CAMP,School-Age Child Care Center,5844 S Timberline RD,Fort Collins,CO,80528,Larimer,Fort Collins,Poudre School District R-1,Early Childhood Council of Larimer County,ECC of Larimer County,-105.03702,40.503476, , , ,150,2,2,12/31/2019 0:00,2,1,163,12/31/2019 0:00,3,1,20180630
1519820,JOELL BOURN,Family Child Care Home,5118 Mt. Buchanan AVE,Frederick,CO,80504,Weld,Erie-Frederick,St. Vrain Valley School District RE 1J,Promises for Children,Promises for Children,-104.956224,40.121786,4/12/2016 0:00,4/12/2019 0:00,Level 2,6, , , , , ,   , , , ,20180630
1519890,DPS DISCOVERY LINK @ WESTERLY CREEK,Child Care Center,8800 E 28th AVE,Denver,CO,80207,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-104.885399,39.756248,8/23/2016 0:00,8/23/2019 0:00,Level 2,15, , ,8/31/2019 0:00,4,1,   ,8/31/2019 0:00,9,1,20180630
