,ZIP,Age_Group,CLEANED_CAPA_GAGR,GEO.id2,CLEANED_POP_GAGR,comparison
110,80134,3-4,-0.022848670924885073,80134.0,-0.022703545932388547,-0.00014512499249652588
112,80135,3-4,0.5811388300841898,80135.0,-0.023349523193607502,0.6044883532777973
114,80136,3-4,0.10840941378690427,80136.0,0.0,0.10840941378690427
116,80138,3-4,-0.02764171661012682,80138.0,-0.02306473309473034,-0.004576983515396482
120,80202,3-4,0.0,80202.0,0.008889063701823963,-0.008889063701823963
122,80203,3-4,0.0,80203.0,0.0055402085998903505,-0.0055402085998903505
124,80204,3-4,0.0017238419966696394,80204.0,0.004555832241953661,-0.0028319902452840218
126,80205,3-4,-0.006570561079502157,80205.0,0.004276569761253013,-0.01084713084075517
128,80206,3-4,0.016273831208892142,80206.0,0.00393960816480643,0.012334223044085713
130,80207,3-4,-0.012006754442960954,80207.0,0.004603016270548821,-0.016609770713509775
134,80209,3-4,0.015209998471335195,80209.0,0.0043573191121517585,0.010852679359183437
136,80210,3-4,0.018834046196049004,80210.0,0.004482891508102105,0.014351154687946899
138,80211,3-4,-0.04476733847045844,80211.0,0.00442619931012489,-0.04919353778058333
140,80212,3-4,0.0642844646996159,80212.0,0.00467292264638508,0.059611542053230826
142,80214,3-4,-0.0010958907401739104,80214.0,0.008396452992618597,-0.009492343732792508
144,80215,3-4,0.1381803659589922,80215.0,0.009174504099019654,0.12900586185997254
146,80216,3-4,-0.007168551206053975,80216.0,0.00472071860665646,-0.011889269812710435
148,80218,3-4,0.0,80218.0,0.00412372883520562,-0.00412372883520562
150,80219,3-4,-0.01134069726189546,80219.0,0.004502925961907378,-0.01584362322380284
152,80220,3-4,0.026831338423588313,80220.0,0.004618962223618128,0.022212376199970185
154,80221,3-4,0.04615251081538241,80221.0,0.001786247330082924,0.044366263485299484
156,80222,3-4,0.0112272964874367,80222.0,0.00428634626390112,0.00694095022353558
158,80223,3-4,-0.009813780140321304,80223.0,0.004852042073430818,-0.014665822213752122
160,80224,3-4,-0.006362736925177304,80224.0,0.004608319340768663,-0.010971056265945967
164,80226,3-4,0.048988279983759986,80226.0,0.008803691240177214,0.04018458874358277
166,80227,3-4,-0.0007648184675278502,80227.0,0.008792864506019793,-0.009557682973547643
168,80228,3-4,0.003662057769173055,80228.0,0.008911697473685143,-0.005249639704512088
170,80229,3-4,-0.052437201539992984,80229.0,0.0020512842069002613,-0.054488485746893245
172,80230,3-4,-0.04266729909768585,80230.0,0.0031397251510383306,-0.04580702424872418
174,80231,3-4,0.006734082821036491,80231.0,0.004376388524024,0.0023576942970124914
176,80232,3-4,0.028645410306816332,80232.0,0.008869353255236412,0.01977605705157992
178,80233,3-4,0.0787197799411874,80233.0,0.002076845435520447,0.07664293450566695
180,80234,3-4,0.15263672879681756,80234.0,0.0020332111808283315,0.15060351761598922
182,80235,3-4,0.06978710239208086,80235.0,0.00853500541273089,0.06125209697934997
184,80236,3-4,-0.011516698855655205,80236.0,0.004144236571884008,-0.015660935427539213
186,80237,3-4,-0.004522863526300158,80237.0,0.00472071860665646,-0.009243582132956618
188,80238,3-4,-0.06845902127640013,80238.0,0.004545477971043876,-0.07300449924744401
190,80239,3-4,0.03400067344601121,80239.0,0.004590689777548063,0.029409983668463147
192,80241,3-4,-0.019541751511715777,80241.0,0.0021810276726825784,-0.021722779184398355
194,80246,3-4,-0.10659911707303593,80246.0,0.004597725391487728,-0.11119684246452366
196,80247,3-4,0.0,80247.0,0.011848754639052217,-0.011848754639052217
198,80249,3-4,0.0055402085998903505,80249.0,0.004250816186094353,0.0012893924137959978
200,80260,3-4,0.04461862427176677,80260.0,0.0020124793952516207,0.04260614487651515
204,80301,3-4,0.016921674876076542,80301.0,-0.028659264285309072,0.045580939161385614
206,80302,3-4,0.0,80302.0,-0.02783847061525513,0.02783847061525513
208,80303,3-4,-0.06556014502505425,80303.0,-0.02806921723074085,-0.0374909277943134
210,80304,3-4,-0.01083455586940918,80304.0,-0.027816341512201248,0.01698178564279207
212,80305,3-4,-0.02578144320322784,80305.0,-0.028806061790364157,0.0030246185871363185
216,80401,3-4,0.05265189379071922,80401.0,0.008629433108777285,0.04402246068194193
218,80403,3-4,0.10787101697590251,80403.0,0.009168495659460651,0.09870252131644186
224,80420,3-4,-0.20943058495790512,80420.0,0.07238052947636087,-0.281811114434266
226,80421,3-4,0.04046566850590971,80421.0,0.07031286092112565,-0.02984719241521594
228,80422,3-4,0.0,80422.0,-0.05591083693006682,0.05591083693006682
230,80423,3-4,-1.0,80423.0,0.0,-1.0
232,80424,3-4,-0.026205431279797353,80424.0,0.017095255431215595,-0.04330068671101295
234,80428,3-4,0.0,80428.0,0.03774904332554163,-0.03774904332554163
236,80433,3-4,0.06735210044723017,80433.0,0.009693279902624363,0.057658820544605804
238,80435,3-4,-0.02400349900193066,80435.0,0.015713644756629508,-0.03971714375856017
