PROVIDERID,ZIP,SERVICETYPEBYAGE,COORDINATES
67823,80121,FCC/DC/CCC,"[39.604438, -104.941727]"
67870,80214,School-Age Facility,"[39.74913, -105.08133899999999]"
67890,81008,FCC/DC/CCC,"[38.304327, -104.656339]"
67933,80127,School-Age Facility,"[39.62738, -105.114369]"
67940,80303,FCC/DC/CCC,"[39.999699, -105.22455900000001]"
67974,80209,FCC/DC/CCC,"[39.703466999999996, -104.968175]"
67978,80301,FCC/DC/CCC,"[40.049896000000004, -105.20666899999999]"
68033,81224,FCC/DC/CCC,"[38.870599, -106.98404199999999]"
68034,81435,FCC/DC/CCC,"[37.938971, -107.81408400000001]"
68054,80439,FCC/DC/CCC,"[39.697486, -105.32696399999999]"
68184,80634,FCC/DC/CCC,"[40.42768, -104.74407099999999]"
68240,80237,FCC/DC/CCC,"[39.640313, -104.89016000000001]"
68369,80241,School-Age Facility,"[39.919359, -104.928754]"
68384,80231,FCC/DC/CCC,"[39.653822, -104.894667]"
68478,80521,FCC/DC/CCC,"[40.587657, -105.08934099999999]"
68581,80002,Preschool Facility,"[39.850017, -105.07846599999999]"
68582,80004,Preschool Facility,"[39.814681, -105.11438700000001]"
68586,81601,FCC/DC/CCC,"[39.535222, -107.320582]"
68588,81504,FCC/DC/CCC,"[39.074031, -108.495593]"
68601,80012,Infant/Toddler Facility,"[39.6924, -104.846898]"
68633,80526,FCC/DC/CCC,"[40.526049, -105.107799]"
68677,80127,FCC/DC/CCC,"[39.547249, -105.14258000000001]"
68711,80111,FCC/DC/CCC,"[39.623691, -104.87911100000001]"
68799,80233,School-Age Facility,"[39.901944, -104.92888]"
68810,80026,School-Age Facility,"[39.998738, -105.09577900000001]"
68812,80214,FCC/DC/CCC,"[39.733973999999996, -105.077501]"
69032,80301,FCC/DC/CCC,"[40.062187, -105.205894]"
69082,80631,FCC/DC/CCC,"[40.396255, -104.69872]"
69105,80020,FCC/DC/CCC,"[39.930372999999996, -105.081952]"
69139,81077,FCC/DC/CCC,"[38.016826, -103.629924]"
69170,80228,FCC/DC/CCC,"[39.714991999999995, -105.15168700000001]"
69275,80112,Infant/Toddler Facility,"[39.580265000000004, -104.893244]"
69299,80012,FCC/DC/CCC,"[39.697824, -104.812609]"
69352,80919,FCC/DC/CCC,"[38.935734000000004, -104.871948]"
69353,80863,FCC/DC/CCC,"[38.99515, -105.058278]"
69521,81006,FCC/DC/CCC,"[38.245461, -104.526552]"
69608,80401,FCC/DC/CCC,"[39.719084, -105.159223]"
69610,80214,Preschool Facility,"[39.73105, -105.06361399999999]"
69623,80550,FCC/DC/CCC,"[40.476634000000004, -104.920818]"
69670,80123,FCC/DC/CCC,"[39.627322, -105.10195]"
69751,80233,FCC/DC/CCC,"[39.903940999999996, -104.943021]"
69809,80701,FCC/DC/CCC,"[40.258115999999994, -103.789652]"
69811,80501,FCC/DC/CCC,"[40.167086, -105.10153500000001]"
69816,80015,FCC/DC/CCC,"[39.625358, -104.767464]"
70120,80917,FCC/DC/CCC,"[38.882011999999996, -104.754684]"
70192,80916,FCC/DC/CCC,"[38.792598999999996, -104.739274]"
70247,80238,Preschool Facility,"[39.754195, -104.900327]"
70361,80537,FCC/DC/CCC,"[40.401647, -105.080321]"
70379,80237,FCC/DC/CCC,"[39.628966999999996, -104.88868899999999]"
70484,80530,Infant/Toddler Facility,"[40.097811, -104.94082399999999]"
70678,81650,FCC/DC/CCC,"[39.534372, -107.798404]"
70807,80222,School-Age Facility,"[39.672048, -104.93883500000001]"
70814,80903,FCC/DC/CCC,"[38.840157, -104.821947]"
70833,81506,FCC/DC/CCC,"[39.096799, -108.51545700000001]"
70926,80918,School-Age Facility,"[38.905945, -104.784533]"
71010,80110,School-Age Facility,"[39.626738, -104.992033]"
71079,80229,FCC/DC/CCC,"[39.862097, -104.963086]"
71095,80917,FCC/DC/CCC,"[38.899663000000004, -104.733359]"
71229,81504,FCC/DC/CCC,"[39.073991, -108.496128]"
71258,81623,FCC/DC/CCC,"[39.400349, -107.20763400000001]"
71341,80026,School-Age Facility,"[39.989461999999996, -105.084303]"
71483,81520,FCC/DC/CCC,"[39.075315, -108.455092]"
71504,81631,FCC/DC/CCC,"[39.643507, -106.820799]"
71549,80005,School-Age Facility,"[39.83763, -105.120227]"
71619,80211,Preschool Facility,"[39.768535, -105.027529]"
71621,80538,Preschool Facility,"[40.425807, -105.09154099999999]"
71660,80128,FCC/DC/CCC,"[39.572241999999996, -105.105451]"
71661,80907,FCC/DC/CCC,"[38.872274, -104.822564]"
71663,80465,FCC/DC/CCC,"[39.638412, -105.133606]"
71688,80026,School-Age Facility,"[39.983228000000004, -105.11093000000001]"
71708,80916,FCC/DC/CCC,"[38.787112, -104.744698]"
71717,80020,School-Age Facility,"[39.934703000000006, -105.022798]"
71718,80233,School-Age Facility,"[39.903146, -104.971919]"
71719,80241,School-Age Facility,"[39.936505, -104.972174]"
71721,80305,FCC/DC/CCC,"[39.989601, -105.254007]"
71786,80634,School-Age Facility,"[40.417732, -104.72908199999999]"
71787,80634,School-Age Facility,"[40.426072, -104.746804]"
71788,80521,School-Age Facility,"[40.594041, -105.12200000000001]"
71792,80128,Infant/Toddler Facility,"[39.587567, -105.095625]"
71810,80033,FCC/DC/CCC,"[39.779146999999995, -105.118489]"
71852,80751,School-Age Facility,"[40.645639, -103.19601800000001]"
71939,80020,Infant/Toddler Facility,"[39.910063, -105.064001]"
71962,81147,FCC/DC/CCC,"[37.284108, -107.099328]"
71999,80919,School-Age Facility,"[38.907067, -104.87124399999999]"
72001,80003,Infant/Toddler Facility,"[39.833127000000005, -105.075052]"
72038,80133,FCC/DC/CCC,"[39.103878, -104.88093400000001]"
72051,80537,FCC/DC/CCC,"[40.383615, -105.11100900000001]"
72099,80236,Infant/Toddler Facility,"[39.632979, -105.038576]"
72189,80744,FCC/DC/CCC,"[40.96349, -102.387819]"
72298,80435,FCC/DC/CCC,"[39.638690999999994, -106.03997700000001]"
72310,80501,FCC/DC/CCC,"[40.190222999999996, -105.10876999999999]"
72325,80524,School-Age Facility,"[40.573524, -105.069171]"
72327,80304,FCC/DC/CCC,"[40.05859, -105.272332]"
72452,80215,School-Age Facility,"[39.75275, -105.115596]"
72620,80233,School-Age Facility,"[39.910623, -104.987076]"
72769,80651,FCC/DC/CCC,"[40.218594, -104.835139]"
72828,80120,School-Age Facility,"[39.609367999999996, -104.99042299999999]"
72841,80918,FCC/DC/CCC,"[38.920665, -104.77719300000001]"
72844,81620,FCC/DC/CCC,"[39.63436, -106.52493700000001]"
72854,80454,FCC/DC/CCC,"[39.621418, -105.252457]"
72857,80214,FCC/DC/CCC,"[39.758307, -105.060496]"
72903,80302,School-Age Facility,"[40.008334999999995, -105.284898]"
72949,80908,School-Age Facility,"[39.012772, -104.713295]"
72953,81615,FCC/DC/CCC,"[39.208721999999995, -106.949795]"
72959,80302,FCC/DC/CCC,"[40.021240999999996, -105.278079]"
73133,80126,FCC/DC/CCC,"[39.547497, -104.973358]"
73152,80916,FCC/DC/CCC,"[38.821421, -104.731812]"
73241,80231,FCC/DC/CCC,"[39.664427, -104.88668999999999]"
73242,80203,School-Age Facility,"[39.731429999999996, -104.886824]"
73244,80305,School-Age Facility,"[39.980453999999995, -105.26306000000001]"
73317,80229,FCC/DC/CCC,"[39.871829, -104.946105]"
73320,80220,FCC/DC/CCC,"[39.717515, -104.93692800000001]"
73332,80920,FCC/DC/CCC,"[38.947322, -104.760988]"
73525,80027,FCC/DC/CCC,"[39.974751, -105.15516799999999]"
73554,80121,FCC/DC/CCC,"[39.602843, -104.96146200000001]"
73575,80918,School-Age Facility,"[38.900855, -104.76544]"
73748,80210,Infant/Toddler Facility,"[39.663582, -104.94658600000001]"
73821,80435,FCC/DC/CCC,"[39.627922999999996, -106.04536499999999]"
73837,80305,FCC/DC/CCC,"[39.992074, -105.26499799999999]"
73925,80207,FCC/DC/CCC,"[39.758161, -104.938014]"
73928,80013,FCC/DC/CCC,"[39.666982, -104.79803299999999]"
73961,80005,FCC/DC/CCC,"[39.841678, -105.121743]"
73973,81005,FCC/DC/CCC,"[38.217574, -104.657785]"
74117,80501,FCC/DC/CCC,"[40.182201, -105.117074]"
74255,80918,Infant/Toddler Facility,"[38.904145, -104.790494]"
74328,81657,FCC/DC/CCC,"[39.639482, -106.36941399999999]"
74384,80911,FCC/DC/CCC,"[38.720711, -104.691075]"
74410,81001,FCC/DC/CCC,"[38.28844, -104.587903]"
74532,81006,FCC/DC/CCC,"[38.249078000000004, -104.524064]"
74600,80305,FCC/DC/CCC,"[39.989328, -105.251646]"
74659,80503,School-Age Facility,"[40.100152, -105.14652099999999]"
74666,80027,School-Age Facility,"[39.982778, -105.15629299999999]"
74667,80027,School-Age Facility,"[39.968298, -105.157875]"
74745,80239,FCC/DC/CCC,"[39.794160999999995, -104.844426]"
74764,80013,Infant/Toddler Facility,"[39.678843, -104.778901]"
74826,80525,School-Age Facility,"[40.563466, -105.05206899999999]"
75017,80033,FCC/DC/CCC,"[39.780684, -105.10673799999999]"
75018,80401,FCC/DC/CCC,"[39.746377, -105.155948]"
75020,80232,Preschool Facility,"[39.68889, -105.123976]"
75022,80907,School-Age Facility,"[38.867334, -104.802143]"
75108,80634,School-Age Facility,"[40.405327, -104.75685]"
75133,80550,Preschool Facility,"[40.479065999999996, -104.913294]"
75158,80525,FCC/DC/CCC,"[40.563474, -105.06127]"
75169,80303,FCC/DC/CCC,"[40.007034000000004, -105.22679]"
75220,80303,FCC/DC/CCC,"[40.013535, -105.198968]"
75231,80126,FCC/DC/CCC,"[39.558367, -104.984057]"
75252,80903,Infant/Toddler Facility,"[38.847797, -104.817316]"
75398,80439,FCC/DC/CCC,"[39.638374, -105.32137900000001]"
75405,80022,Preschool Facility,"[39.812901000000004, -104.918803]"
75411,80446,FCC/DC/CCC,"[40.089324, -105.92851399999999]"
75426,80640,Infant/Toddler Facility,"[39.900907000000004, -104.858774]"
75599,80303,School-Age Facility,"[40.008477, -105.23358200000001]"
75629,80017,Infant/Toddler Facility,"[39.700835999999995, -104.79714799999999]"
75726,80012,FCC/DC/CCC,"[39.685922, -104.849514]"
75730,80013,Infant/Toddler Facility,"[39.656677, -104.788217]"
75740,80537,FCC/DC/CCC,"[40.404187, -105.09874099999999]"
75776,80126,School-Age Facility,"[39.560133, -104.96651200000001]"
75806,81120,Infant/Toddler Facility,"[37.08191, -106.01387700000001]"
75830,80305,School-Age Facility,"[39.990301, -105.24945]"
75837,80403,FCC/DC/CCC,"[39.804676, -105.20246999999999]"
75838,80030,FCC/DC/CCC,"[39.83435, -105.03165600000001]"
75864,80020,FCC/DC/CCC,"[39.910057, -105.055123]"
75941,80122,FCC/DC/CCC,"[39.587619000000004, -104.93945]"
75959,80017,FCC/DC/CCC,"[39.69101, -104.767841]"
76023,80526,FCC/DC/CCC,"[40.560914000000004, -105.104018]"
76063,80421,FCC/DC/CCC,"[39.48964, -105.48953999999999]"
76075,81521,FCC/DC/CCC,"[39.159713, -108.735019]"
76077,80919,FCC/DC/CCC,"[38.904669, -104.87068500000001]"
76132,80601,School-Age Facility,"[39.981415999999996, -104.804715]"
76180,80003,Preschool Facility,"[39.849128, -105.061201]"
76181,80004,Preschool Facility,"[39.810159999999996, -105.103656]"
76182,80433,FCC/DC/CCC,"[39.539376000000004, -105.30357099999999]"
76184,80128,FCC/DC/CCC,"[39.575939, -105.061924]"
76185,80232,Preschool Facility,"[39.689093, -105.096551]"
76210,80129,FCC/DC/CCC,"[39.525133000000004, -105.01771000000001]"
76421,80538,FCC/DC/CCC,"[40.450361, -105.085073]"
76435,80004,School-Age Facility,"[39.815881, -105.11818400000001]"
76638,80526,FCC/DC/CCC,"[40.559277, -105.113464]"
76640,80016,FCC/DC/CCC,"[39.601958, -104.73133100000001]"
76796,80443,FCC/DC/CCC,"[39.585562, -106.099721]"
76800,80917,School-Age Facility,"[38.888861, -104.742189]"
76948,80108,FCC/DC/CCC,"[39.472338, -104.888783]"
76977,80537,FCC/DC/CCC,"[40.39842, -105.094599]"
76999,80013,Infant/Toddler Facility,"[39.652312, -104.801831]"
77161,80911,FCC/DC/CCC,"[38.758114, -104.746735]"
77208,80102,FCC/DC/CCC,"[39.668199, -104.415797]"
77218,80229,School-Age Facility,"[39.864036, -104.975353]"
77227,80918,Infant/Toddler Facility,"[38.914851, -104.766582]"
77468,80601,FCC/DC/CCC,"[39.986063, -104.819845]"
77518,80487,FCC/DC/CCC,"[40.457484, -106.80617099999999]"
77692,80227,FCC/DC/CCC,"[39.660571000000004, -105.059657]"
77780,80003,FCC/DC/CCC,"[39.846713, -105.060248]"
77798,80020,FCC/DC/CCC,"[39.940816, -105.032719]"
77845,80228,FCC/DC/CCC,"[39.675191999999996, -105.161703]"
77853,80634,FCC/DC/CCC,"[40.389523, -104.75333499999999]"
77874,80526,Infant/Toddler Facility,"[40.543298, -105.101874]"
77927,80525,Infant/Toddler Facility,"[40.549857, -105.05105900000001]"
78016,80127,FCC/DC/CCC,"[39.615735, -105.11871699999999]"
78025,80446,School-Age Facility,"[39.991749, -105.92841899999999]"
78036,81212,FCC/DC/CCC,"[38.461533, -105.237105]"
78051,80615,FCC/DC/CCC,"[40.514521, -104.69739399999999]"
78073,80751,FCC/DC/CCC,"[40.629628000000004, -103.212696]"
78074,80923,FCC/DC/CCC,"[38.927793, -104.733577]"
78143,80918,FCC/DC/CCC,"[38.93419, -104.762524]"
78180,80233,School-Age Facility,"[39.907871, -104.946472]"
78193,80504,Infant/Toddler Facility,"[40.152415999999995, -104.93386399999999]"
78215,80526,School-Age Facility,"[40.531618, -105.08795400000001]"
78217,80526,School-Age Facility,"[40.526037, -105.105658]"
78218,80521,School-Age Facility,"[40.568989, -105.09833]"
78220,80549,School-Age Facility,"[40.710240999999996, -105.00141299999999]"
78221,80521,School-Age Facility,"[40.592014, -105.10176000000001]"
78223,80547,School-Age Facility,"[40.532744, -104.9837]"
78306,80126,FCC/DC/CCC,"[39.547326, -104.950654]"
78359,81623,School-Age Facility,"[39.070468, -107.18520600000001]"
78393,80525,FCC/DC/CCC,"[40.56145, -105.07483700000002]"
78411,80303,School-Age Facility,"[40.002325, -105.17817099999999]"
78412,80123,School-Age Facility,"[39.620033, -105.09893100000001]"
78523,80503,Preschool Facility,"[40.100152, -105.14652099999999]"
78553,81230,FCC/DC/CCC,"[38.553308, -106.936031]"
78581,81101,FCC/DC/CCC,"[37.474601, -105.88729099999999]"
78586,81504,School-Age Facility,"[39.098267, -108.484024]"
78587,80123,School-Age Facility,"[39.616194, -105.030004]"
78610,80751,FCC/DC/CCC,"[40.616128, -103.212552]"
78700,80204,FCC/DC/CCC,"[39.734415000000006, -105.00086200000001]"
78806,80021,School-Age Facility,"[39.873084999999996, -105.102391]"
78933,80303,School-Age Facility,"[40.092453000000006, -105.357717]"
78935,81611,FCC/DC/CCC,"[39.192855, -106.822604]"
78971,80534,FCC/DC/CCC,"[40.336958, -104.915332]"
79022,80301,School-Age Facility,"[40.057476, -105.17239]"
79025,80220,School-Age Facility,"[39.744890000000005, -104.92931499999999]"
79032,80908,School-Age Facility,"[39.030415000000005, -104.701649]"
79071,80526,Infant/Toddler Facility,"[40.560565000000004, -105.127825]"
79117,80017,FCC/DC/CCC,"[39.703545, -104.803655]"
79149,81101,FCC/DC/CCC,"[37.479103, -105.854602]"
79151,80232,FCC/DC/CCC,"[39.692718, -105.067333]"
79253,80111,Infant/Toddler Facility,"[39.596015, -104.82688]"
79359,80239,FCC/DC/CCC,"[39.785270000000004, -104.81374]"
79477,80233,FCC/DC/CCC,"[39.899978999999995, -104.974151]"
79488,80236,FCC/DC/CCC,"[39.662118, -105.03588400000001]"
79606,80011,FCC/DC/CCC,"[39.723002, -104.831312]"
79675,80701,School-Age Facility,"[40.257008, -103.81093]"
79696,80634,FCC/DC/CCC,"[40.407658000000005, -104.749601]"
79703,80550,FCC/DC/CCC,"[40.470489, -104.906765]"
79799,80121,Infant/Toddler Facility,"[39.604411999999996, -104.93294399999999]"
79807,80004,FCC/DC/CCC,"[39.816990999999994, -105.15405]"
79826,80631,FCC/DC/CCC,"[40.4126, -104.6978]"
79943,81301,School-Age Facility,"[37.26927, -107.876226]"
79946,81301,School-Age Facility,"[37.290729999999996, -107.878515]"
79947,81301,School-Age Facility,"[37.294881, -107.86492199999999]"
79951,81301,School-Age Facility,"[37.225977, -107.79471799999999]"
79971,80004,FCC/DC/CCC,"[39.803442, -105.128707]"
80068,80103,FCC/DC/CCC,"[39.707637, -104.217393]"
80084,80011,FCC/DC/CCC,"[39.723244, -104.789459]"
80110,80020,FCC/DC/CCC,"[39.904019, -105.060979]"
80134,80015,FCC/DC/CCC,"[39.616654, -104.787196]"
80205,80922,FCC/DC/CCC,"[38.921440999999994, -104.699748]"
80207,80033,School-Age Facility,"[39.771033, -105.07648700000001]"
80211,80909,FCC/DC/CCC,"[38.851786, -104.752493]"
80282,80542,FCC/DC/CCC,"[40.233487, -105.006275]"
80508,80113,School-Age Facility,"[39.627003, -104.982153]"
80509,80205,School-Age Facility,"[39.766196, -104.97055900000001]"
80514,80206,FCC/DC/CCC,"[39.726108, -104.956392]"
80517,80030,School-Age Facility,"[39.83448, -105.02795]"
80520,80215,FCC/DC/CCC,"[39.747067, -105.11608600000001]"
80527,80002,School-Age Facility,"[39.800906, -105.078776]"
80530,80220,Preschool Facility,"[39.736644, -104.90889399999999]"
80531,80501,FCC/DC/CCC,"[40.165439, -105.099426]"
80534,80120,School-Age Facility,"[39.593621, -105.0179]"
80535,80223,School-Age Facility,"[39.709523, -105.005269]"
80536,80112,FCC/DC/CCC,"[39.569133, -104.90949199999999]"
80560,80031,Infant/Toddler Facility,"[39.895016999999996, -105.04063799999999]"
80575,80227,FCC/DC/CCC,"[39.670655, -105.09729399999999]"
80576,80132,Preschool Facility,"[39.089663, -104.87191399999999]"
80606,80537,School-Age Facility,"[40.40444, -105.100311]"
80627,80903,Preschool Facility,"[38.836252, -104.820251]"
80685,80504,FCC/DC/CCC,"[40.17114, -105.01553200000001]"
80692,80210,FCC/DC/CCC,"[39.695119, -104.957577]"
80693,80487,School-Age Facility,"[40.508699, -106.82352900000001]"
80712,80907,FCC/DC/CCC,"[38.889891999999996, -104.836249]"
80825,81657,School-Age Facility,"[39.6464, -106.389176]"
80832,80112,School-Age Facility,"[39.581721, -104.910771]"
80892,80134,FCC/DC/CCC,"[39.531259000000006, -104.804392]"
80911,80112,FCC/DC/CCC,"[39.566358, -104.91505500000001]"
80921,80424,School-Age Facility,"[39.492554999999996, -106.04898700000001]"
80948,80537,FCC/DC/CCC,"[40.373917999999996, -105.09434099999999]"
80964,80219,FCC/DC/CCC,"[39.705362, -105.035758]"
81003,80246,School-Age Facility,"[39.710029999999996, -104.930516]"
81052,80111,FCC/DC/CCC,"[39.624123, -104.875984]"
81058,80249,FCC/DC/CCC,"[39.771825, -104.756365]"
81060,80525,FCC/DC/CCC,"[40.53888, -105.057427]"
81109,80906,FCC/DC/CCC,"[38.769919, -104.78862099999999]"
81185,80013,FCC/DC/CCC,"[39.660545, -104.770356]"
81197,81006,FCC/DC/CCC,"[38.241341, -104.53146600000001]"
81299,81645,FCC/DC/CCC,"[39.584828, -106.42943799999999]"
81311,80013,FCC/DC/CCC,"[39.656487, -104.76052]"
81370,81005,FCC/DC/CCC,"[38.239488, -104.661912]"
81467,80504,FCC/DC/CCC,"[40.20596, -105.110463]"
81468,80501,School-Age Facility,"[40.170722, -105.103866]"
81474,80005,FCC/DC/CCC,"[39.844623999999996, -105.089542]"
81503,81401,FCC/DC/CCC,"[38.474522, -107.849974]"
81563,80205,FCC/DC/CCC,"[39.759519, -104.97836399999998]"
81577,80127,FCC/DC/CCC,"[39.583218, -105.13175600000001]"
81691,81003,FCC/DC/CCC,"[38.282352, -104.617548]"
81793,80920,FCC/DC/CCC,"[38.947917, -104.753164]"
81979,80016,FCC/DC/CCC,"[39.617636, -104.699985]"
82013,80122,FCC/DC/CCC,"[39.587684, -104.940234]"
82024,80737,FCC/DC/CCC,"[40.987625, -102.270282]"
82029,80921,School-Age Facility,"[39.054556, -104.826483]"
82036,80026,School-Age Facility,"[39.998738, -105.09577900000001]"
82037,81242,School-Age Facility,"[38.429123, -106.09855]"
82089,80828,FCC/DC/CCC,"[39.269498, -103.700926]"
82104,80020,FCC/DC/CCC,"[39.923217, -105.04118999999999]"
82144,80403,FCC/DC/CCC,"[39.803272, -105.20852]"
82151,80526,School-Age Facility,"[40.539590999999994, -105.120951]"
82154,80525,School-Age Facility,"[40.527122999999996, -105.048252]"
82156,80601,FCC/DC/CCC,"[39.974831, -104.802397]"
82181,80033,Infant/Toddler Facility,"[39.781684999999996, -105.10171899999999]"
82200,81504,Preschool Facility,"[39.098267, -108.484024]"
82201,80026,School-Age Facility,"[40.000284, -105.09358200000001]"
82327,80015,FCC/DC/CCC,"[39.614565, -104.760029]"
82345,80234,FCC/DC/CCC,"[39.88629, -105.00518899999999]"
82347,80526,School-Age Facility,"[40.520748, -105.086634]"
82348,80112,School-Age Facility,"[39.574102, -104.888396]"
82349,80112,Preschool Facility,"[39.58174, -104.899709]"
82350,80503,Preschool Facility,"[40.18616, -105.148094]"
82352,80015,FCC/DC/CCC,"[39.624282, -104.735068]"
82466,80534,FCC/DC/CCC,"[40.331945000000005, -104.913297]"
82538,80128,FCC/DC/CCC,"[39.579948, -105.067159]"
82540,80120,School-Age Facility,"[39.581922, -104.99093799999999]"
82541,80005,School-Age Facility,"[39.846323, -105.093572]"
82565,80004,FCC/DC/CCC,"[39.821376, -105.13058799999999]"
82676,80903,School-Age Facility,"[38.848331, -104.826677]"
82677,81631,FCC/DC/CCC,"[39.648317, -106.828011]"
82684,80012,School-Age Facility,"[39.683419, -104.858369]"
82695,81003,School-Age Facility,"[38.256151, -104.637468]"
82700,80634,FCC/DC/CCC,"[40.428005, -104.72823299999999]"
82710,80621,FCC/DC/CCC,"[40.080989, -104.812586]"
82734,80925,FCC/DC/CCC,"[38.72805, -104.70615]"
82777,80020,School-Age Facility,"[39.895957, -105.063675]"
82840,80634,FCC/DC/CCC,"[40.427865999999995, -104.760441]"
82867,81057,FCC/DC/CCC,"[38.137871999999994, -102.849864]"
82875,80741,FCC/DC/CCC,"[40.485186999999996, -103.357423]"
82879,80501,FCC/DC/CCC,"[40.146127, -105.12003899999999]"
82880,80013,Preschool Facility,"[39.662963, -104.79956700000001]"
82881,80013,FCC/DC/CCC,"[39.64739, -104.783315]"
82882,80011,FCC/DC/CCC,"[39.730533, -104.779763]"
82885,80012,FCC/DC/CCC,"[39.692793, -104.814162]"
82888,80210,School-Age Facility,"[39.673916, -104.950124]"
83042,80204,FCC/DC/CCC,"[39.738946, -105.001186]"
83055,80526,FCC/DC/CCC,"[40.555545, -105.122468]"
83059,80005,FCC/DC/CCC,"[39.846821000000006, -105.10140700000001]"
83089,80808,Preschool Facility,"[39.033122, -104.31055400000001]"
83146,80701,FCC/DC/CCC,"[40.243057, -103.815007]"
83181,80210,School-Age Facility,"[39.717036, -104.924273]"
83183,80206,School-Age Facility,"[39.734377, -104.943428]"
83192,80537,FCC/DC/CCC,"[40.40444, -105.100311]"
83310,80017,FCC/DC/CCC,"[39.697917, -104.78373]"
83320,80736,FCC/DC/CCC,"[40.825301, -102.96038]"
83419,80126,School-Age Facility,"[39.531223, -104.96177]"
83535,80443,FCC/DC/CCC,"[39.571742, -106.091228]"
83537,80229,FCC/DC/CCC,"[39.877365000000005, -104.939828]"
83656,80911,FCC/DC/CCC,"[38.749824, -104.721114]"
83780,80911,FCC/DC/CCC,"[38.74808, -104.735228]"
83829,80525,FCC/DC/CCC,"[40.506643, -105.069708]"
83831,80013,FCC/DC/CCC,"[39.645734000000004, -104.738849]"
83879,80817,FCC/DC/CCC,"[38.706418, -104.684563]"
83881,80231,Infant/Toddler Facility,"[39.665017999999996, -104.889004]"
83885,80910,FCC/DC/CCC,"[38.819396999999995, -104.766889]"
83899,80442,School-Age Facility,"[39.948676, -105.818821]"
83904,80401,FCC/DC/CCC,"[39.736599, -105.13332700000001]"
83983,81403,FCC/DC/CCC,"[38.452386, -107.889789]"
83998,81030,FCC/DC/CCC,"[38.109127, -103.509187]"
84002,80550,Preschool Facility,"[40.471081, -104.91371299999999]"
84003,80550,FCC/DC/CCC,"[40.474302, -104.90437800000001]"
84010,80621,FCC/DC/CCC,"[40.089257, -104.804743]"
84082,80228,FCC/DC/CCC,"[39.665426000000004, -105.162989]"
84084,80239,FCC/DC/CCC,"[39.79101, -104.83946999999999]"
84101,81073,FCC/DC/CCC,"[37.410517999999996, -102.619299]"
84102,81090,Preschool Facility,"[37.38692, -102.280849]"
84155,80907,School-Age Facility,"[38.888467999999996, -104.813151]"
84159,80701,FCC/DC/CCC,"[40.250801, -103.791416]"
84164,80210,FCC/DC/CCC,"[39.695078, -104.96463899999999]"
84168,81052,Preschool Facility,"[38.070778999999995, -102.624009]"
84241,80229,School-Age Facility,"[39.847607, -104.970316]"
84242,81144,FCC/DC/CCC,"[37.579571, -106.138379]"
84274,81326,FCC/DC/CCC,"[37.145352, -108.120636]"
84426,80005,FCC/DC/CCC,"[39.836671, -105.09440500000001]"
84466,80205,Infant/Toddler Facility,"[39.761311, -104.960622]"
84505,80758,Preschool Facility,"[40.075379999999996, -102.246643]"
84533,80516,FCC/DC/CCC,"[40.052206, -105.048447]"
84535,80020,FCC/DC/CCC,"[39.935638, -105.022474]"
84555,81064,Preschool Facility,"[37.372904, -102.861471]"
84557,81650,Preschool Facility,"[39.556356, -107.774521]"
84558,80136,Preschool Facility,"[39.7436, -104.323532]"
84579,80227,FCC/DC/CCC,"[39.672988000000004, -105.052353]"
84607,80204,FCC/DC/CCC,"[39.741712, -104.993691]"
84614,80734,FCC/DC/CCC,"[40.584173, -102.30779100000001]"
84641,80836,Preschool Facility,"[39.304552, -102.59558299999999]"
84660,80549,Preschool Facility,"[40.710240999999996, -105.00141299999999]"
84661,80517,Preschool Facility,"[40.367693, -105.499214]"
84679,80113,FCC/DC/CCC,"[39.646889, -104.988625]"
84741,80229,FCC/DC/CCC,"[39.853233, -104.95949499999999]"
84756,80104,Infant/Toddler Facility,"[39.370302, -104.79211600000001]"
84781,80807,Preschool Facility,"[39.305198, -102.263965]"
84802,80821,Preschool Facility,"[39.137980999999996, -103.471106]"
84803,80030,Preschool Facility,"[39.842347, -105.02893700000001]"
84823,80829,FCC/DC/CCC,"[38.855886, -104.914672]"
84892,80223,FCC/DC/CCC,"[39.683201000000004, -105.01196100000001]"
84893,80237,FCC/DC/CCC,"[39.642983, -104.891547]"
84895,80236,FCC/DC/CCC,"[39.659473, -105.04541]"
84896,80220,FCC/DC/CCC,"[39.744890000000005, -104.92931499999999]"
84897,80239,FCC/DC/CCC,"[39.779468, -104.838433]"
84898,80219,FCC/DC/CCC,"[39.708161, -105.04591599999999]"
84923,80915,FCC/DC/CCC,"[38.859145, -104.72729]"
84967,80219,FCC/DC/CCC,"[39.683134, -105.02901200000001]"
84968,80219,FCC/DC/CCC,"[39.66701, -105.030925]"
84969,80223,FCC/DC/CCC,"[39.697489000000004, -105.01476799999999]"
84970,80223,FCC/DC/CCC,"[39.690197, -105.012754]"
84972,80219,FCC/DC/CCC,"[39.673008, -105.044676]"
84974,80205,FCC/DC/CCC,"[39.757608000000005, -104.956368]"
85030,80126,FCC/DC/CCC,"[39.557102, -104.98113700000002]"
85038,80134,FCC/DC/CCC,"[39.556366, -104.782198]"
85042,80226,FCC/DC/CCC,"[39.700969, -105.118307]"
85049,80207,FCC/DC/CCC,"[39.766539, -104.918218]"
85081,80239,FCC/DC/CCC,"[39.793475, -104.841884]"
85082,80220,FCC/DC/CCC,"[39.745915999999994, -104.89868799999999]"
