PROVIDERID,ZIP,SERVICETYPEBYAGE,COORDINATES
1548866,80104,FCC/DC/CCC,"[39.404585, -104.856278]"
1548867,80015,FCC/DC/CCC,"[39.632317, -104.79316899999999]"
1548923,80910,FCC/DC/CCC,"[38.806407, -104.760708]"
1548959,81212,FCC/DC/CCC,"[38.448493, -105.228606]"
1549093,80501,FCC/DC/CCC,"[40.17519, -105.096244]"
1549128,80501,FCC/DC/CCC,"[40.143721, -105.104345]"
1549184,81658,Preschool Facility,"[39.520334999999996, -107.73484599999999]"
1549230,80136,Infant/Toddler Facility,"[39.728041999999995, -104.338802]"
1549308,81201,FCC/DC/CCC,"[38.519442, -106.04441899999999]"
1549319,80924,Preschool Facility,"[38.964473, -104.723902]"
1549438,80501,FCC/DC/CCC,"[40.163592, -104.947601]"
1549485,80134,FCC/DC/CCC,"[39.482386, -104.77431999999999]"
1549640,80498,FCC/DC/CCC,"[39.644182, -106.08013700000001]"
1549658,80211,FCC/DC/CCC,"[39.768966, -105.010545]"
1549721,80011,Preschool Facility,"[39.730387, -104.84724399999999]"
1549762,80134,Preschool Facility,"[39.5439, -104.803668]"
1549763,80219,FCC/DC/CCC,"[39.690111, -105.024527]"
1549765,81144,FCC/DC/CCC,"[37.574504, -106.113514]"
1549777,80920,School-Age Facility,"[38.963211, -104.75205600000001]"
1549806,80123,School-Age Facility,"[39.607141999999996, -105.065849]"
1549964,80817,FCC/DC/CCC,"[38.534366, -104.679532]"
1549984,80455,School-Age Facility,"[40.145476, -105.399064]"
1550023,81648,FCC/DC/CCC,"[40.083268, -108.79467]"
1550047,81125,FCC/DC/CCC,"[37.757222999999996, -106.10963100000001]"
1550067,80129,School-Age Facility,"[39.523993, -105.00248]"
1550076,80126,FCC/DC/CCC,"[39.540178000000004, -104.971883]"
1550171,80304,FCC/DC/CCC,"[40.040422, -105.25896399999999]"
1550178,80134,FCC/DC/CCC,"[39.515079, -104.787846]"
1550289,81007,FCC/DC/CCC,"[38.351434000000005, -104.678104]"
1550297,80012,FCC/DC/CCC,"[39.688158, -104.84151999999999]"
1550355,80923,School-Age Facility,"[38.936085, -104.722125]"
1550543,81521,FCC/DC/CCC,"[39.161345000000004, -108.718736]"
1550670,80602,FCC/DC/CCC,"[39.945531, -104.916152]"
1550826,80023,FCC/DC/CCC,"[39.958943, -105.028351]"
1550861,80014,FCC/DC/CCC,"[39.68145, -104.866017]"
1550935,81122,FCC/DC/CCC,"[37.225883, -107.595554]"
1550938,80013,FCC/DC/CCC,"[39.656113, -104.759159]"
1551020,80920,FCC/DC/CCC,"[38.96472, -104.772954]"
1551062,80033,FCC/DC/CCC,"[39.775202, -105.14106699999999]"
1551114,80233,FCC/DC/CCC,"[39.894376, -104.981619]"
1551154,80550,FCC/DC/CCC,"[40.46306, -104.896426]"
1551166,80125,School-Age Facility,"[39.468342, -105.07091499999999]"
1551201,80134,FCC/DC/CCC,"[39.525353, -104.770444]"
1551345,80027,School-Age Facility,"[39.983071, -105.13223799999999]"
1551408,80517,Preschool Facility,"[40.382289, -105.494445]"
1551524,80233,FCC/DC/CCC,"[39.897086, -104.93933500000001]"
1551550,80602,FCC/DC/CCC,"[39.945376, -104.89713300000001]"
1551613,80465,FCC/DC/CCC,"[39.632226, -105.13855]"
1551673,80134,School-Age Facility,"[39.525721999999995, -104.773161]"
1551690,80516,FCC/DC/CCC,"[40.003594, -105.01564499999999]"
1551708,80601,FCC/DC/CCC,"[39.995803, -104.779165]"
1551860,80922,FCC/DC/CCC,"[38.888186, -104.71363199999999]"
1551876,80602,Infant/Toddler Facility,"[39.931575, -104.91076000000001]"
1551880,81006,FCC/DC/CCC,"[38.233079, -104.51071800000001]"
1551894,80538,FCC/DC/CCC,"[40.410154999999996, -105.01763500000001]"
